epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,1705.37,0.31142,0.99283,0.303,0.17196,0.00632,0.12567,0.99974,1,0.995,0.995,0.99974,1,0.995,0.93934,0.09699,0.28976,0.3376,0.03842,0.00276,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,1738.8,0.31774,1.01984,0.30001,0.16658,0.00625,0.44679,1,1,0.995,0.96838,1,1,0.995,0.92648,0.33999,0.33267,0.36625,0.09689,0.00908,0,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,1771.3,0.34848,1.16327,0.29699,0.1745,0.00699,0.50649,1,1,0.995,0.995,1,1,0.995,0.90882,0.08784,0.36981,0.33642,0.04114,0.0028,0,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,1804.4,0.35371,1.2789,0.30112,0.17285,0.00703,0.58252,0.99922,1,0.995,0.995,0.99922,1,0.995,0.92707,0.21724,0.35151,0.34962,0.083,0.00575,0,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,1837.98,0.35109,1.22526,0.30065,0.16697,0.00687,0.45553,0.99501,0.998,0.99495,0.99495,0.99501,0.998,0.99495,0.94086,0.20729,0.31223,0.32392,0.13487,0.00532,0,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,1871.58,0.33844,1.17844,0.29615,0.18537,0.00663,0.18437,1,0.97194,0.99485,0.99485,1,0.97194,0.99485,0.96693,0.14597,0.23632,0.32195,0.17324,0.00435,0,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,1905.17,0.34014,1.14051,0.29558,0.16958,0.00648,0.5279,0.99987,1,0.995,0.99238,0.99987,1,0.995,0.85821,0.14734,0.5357,0.32533,0.05539,0.00476,0,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,1938.59,0.34595,1.20979,0.28344,0.16981,0.00701,0.47345,1,1,0.995,0.995,1,1,0.995,0.96237,0.19662,0.24339,0.31446,0.0633,0.00702,0,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,1971.74,0.32589,1.13784,0.28029,0.15708,0.00663,0.31831,0.99973,1,0.995,0.995,0.99973,1,0.995,0.96599,0.21151,0.22682,0.302,0.07026,0.00729,0,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,2004.6,0.34968,1.04739,0.2764,0.17838,0.00675,0.20584,0.99973,1,0.995,0.97441,0.99973,1,0.995,0.94763,0.31752,0.3026,0.29937,0.09237,0.00926,0,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
