element_id,node_1,node_2,node_3
247726,13976,13776,13602
247727,13976,14179,13776
247728,14179,13986,13776
247729,14179,14405,13986
247730,14405,14228,13986
247731,14405,14670,14228
247732,14670,14497,14228
247733,14670,14979,14497
247734,14979,14816,14497
247735,14979,15316,14816
247736,15316,15155,14816
247737,15316,15689,15155
247738,15689,15538,15155
247739,15689,16086,15538
247740,16086,15930,15538
247741,16086,16498,15930
247742,16498,16347,15930
247743,15469,14895,15269
247744,15469,15089,14895
247745,15089,14558,14895
247746,15089,14746,14558
247747,14746,14265,14558
247748,14746,14444,14265
247749,14444,13982,14265
247750,14444,14187,13982
247751,14187,13737,13982
247752,14187,13946,13737
247753,13946,13524,13737
247754,13946,13746,13524
247755,13746,13357,13524
247756,13746,13581,13357
247757,13581,13215,13357
247758,13581,13447,13215
247759,13447,13097,13215
247760,13447,13358,13097
247761,13358,13025,13097
247762,13358,13308,13025
247763,13308,12990,13025
247764,13308,13284,12990
247765,13284,12998,12990
247766,13284,13313,12998
247767,13313,13043,12998
247768,13313,13371,13043
247769,13371,13123,13043
247770,13371,13470,13123
247771,13470,13258,13123
247772,13470,13602,13258
247773,13602,13397,13258
247774,13602,13776,13397
247775,13776,13583,13397
247776,13776,13986,13583
247777,13986,13808,13583
247778,13986,14228,13808
