node_id,x,y,z
709,-148.308,110.678,-6.0539
710,-128.56,135.554,-6.57779
711,-70.6801,173.728,-69.0639
712,-132.264,150.021,-7.54797
713,-192.654,53.7074,-60.2797
714,-133.815,143.051,-6.04045
715,-128.893,128.27,-6.25497
716,-114.099,41.895,-100.0
717,-187.994,68.2521,-36.593
718,-130.963,139.847,-6.0356
719,-99.7522,49.1695,-100.0
720,-98.6837,161.956,-25.0105
721,-131.051,117.397,-6.46271
722,-126.534,91.1807,-15.4479
723,-138.33,115.187,-5.48746
724,-106.495,51.1803,-68.5052
725,-130.446,130.054,-5.51659
726,-129.175,144.714,-6.6765
727,-100.817,97.8604,-24.1308
728,-168.116,89.0417,-14.2843
729,-108.322,143.728,-13.9936
730,-160.955,111.644,-5.51969
731,-153.097,128.691,-3.09899
732,-108.561,128.51,-12.9325
733,-148.979,133.436,-3.09555
734,-85.7647,180.678,-48.46
735,-168.862,107.171,-7.62964
736,-146.567,100.834,-7.87968
737,-177.296,82.9194,-19.7573
738,-146.865,135.76,-3.09441
739,-139.552,35.8202,-84.3185
740,-73.0566,154.475,-47.2205
741,-54.5454,141.401,-100.0
742,-57.0934,155.36,-100.0
743,-152.772,106.37,-6.00335
744,-129.426,147.185,-6.6781
745,-84.1067,71.4917,-62.435
746,-136.841,107.926,-6.68291
747,-143.427,129.772,-3.08193
748,-164.252,106.919,-6.70416
749,-146.33,108.411,-5.53876
750,-150.85,131.317,-2.7485
751,-156.738,103.789,-6.7044
752,-176.438,94.1782,-13.5069
753,-157.064,123.819,-3.10397
754,-145.405,124.866,-2.98962
755,-144.714,138.05,-3.09364
756,-154.98,33.6421,-100.0
757,-154.901,126.514,-2.75194
758,-55.9308,149.995,-91.9719
759,-160.092,100.985,-7.66853
760,-135.609,112.749,-5.48709
761,-140.711,129.832,-3.00245
762,-168.001,69.2791,-26.3107
763,-140.595,126.94,-3.08229
764,-116.356,100.836,-13.9588
765,-148.126,130.367,-2.44764
766,-150.183,127.993,-2.44851
767,-124.825,131.595,-5.99583
768,-161.348,104.035,-6.70968
769,-127.873,115.524,-6.44201
770,-147.742,127.767,-2.45162
771,-83.8742,79.0338,-51.8955
772,-129.447,122.544,-5.13496
773,-131.771,109.594,-6.67693
774,-125.837,139.525,-6.03798
775,-146.032,132.709,-2.44691
776,-152.201,125.585,-2.44952
777,-145.668,130.127,-2.45129
778,-102.263,133.242,-15.43
779,-127.219,72.5178,-25.4496
780,-149.778,125.375,-2.45208
781,-82.5176,104.647,-35.6046
782,-142.528,140.306,-3.09326
783,-145.198,127.645,-2.48021
784,-139.163,133.946,-2.99882
